UPSTAIRSBEDROOM, Your humble bedroom where you spent most of your life ~training your skills for this very day.,,POSTER,DOWNSTAIRSKITCHEN,the only exit to your room is the stairs down to the kitchen
DOWNSTAIRSKITCHEN,Your ground floor is mostly made up of your kitchen.~Your kitchen is always very dirty because of your busy life of jestering.~You spend very little time here,,,MARKET;UPSTAIRSBEDROOM,Your front door leads right into the town market as your small home is situated in the town center
MARKET,You are in a bubbling town market filled with all sorts of people from all the local businesses trying to make a shilling in these hard times.~Everyone ignores you because of your weird profession except for one older woman calling you to her stall,PINSELLER,,DOWNSTAIRSKITCHEN;CASTLE GATES;TAVERN;MUSIC STORE;BACK ALLEY,There are many different directions you could go from here:~You could go back into your kitchen~You could see if there are any drunkards in the tavern you could make a quizk buck off~You could head straight to the castle gates~You could check if there are any cool instruments to buy in the music store~Or if you're really desperate you could venture into the back alley to see if any of the ruffians would give you a little cash for a performance
CASTLE GATES,As you approach the behemoth castle gates a guard shouts down to you and demands that you speak to him.~The castle is very old and it's gates are of an outdated design.~They will protect king Alfred for many years to come since money for upgrades has been scarce,CASTLE GUARD,,MARKET;BACK ALLEY, From these gates you could return to the city market.~ There is also a path to the back alley of Voterdame
BACK ALLEY,The back alleys of Voterdame are filled with the filth of the city.~They spend all their time going between the back alleys only leaving to visit the market to buy more beef jerky when they run out.,BART,,MARKET;CASTLE GATES;OUTSKIRTS OF TOWN,From here you can go to market like the local ruffians~Head to the castle gates or start on your way out of town and go to the outskirts of town
MUSIC STORE,A small local music store with some primitive lutes and woodwind instruments.~Certainly not the best instruments in the kindgom but they will do and most importantly~they are cheap,MUSIC STORE OWNER,,MARKET,The front door leads back out to the market. Without breaking any laws back to the market is the only way you should go
OUTSKIRTS OF TOWN,The very edge of Voterdame.~Past here the people get alot nicer. The smells get alot beter and the productivity is higher,,FLINT AND STEEL,BRIDGE;MARKET;BACK ALLEY,From here you could continue out of town towards the bridge.~Or you could go back to either the market or the back alley.
THRONE ROOM,A beutifully decorated throne room with luxurious paintings of saints and kings lining the walls.~The king normally sits here when attending to his duties,KING,,CASTLE COURTYARD,The only exit you will be allowed to take would be back out to the castle courtyard.
TAVERN,Here stays the drunkards of the town. You could likely convince some of them to pay you for a jest or you could learn something from the tavernkeep,TAVERN KEEP;DRUNKMAN GODFRIED,,MARKET,The wonderfully crafted wooden door leads back out to the market. This is the only exit to the tavern.
TAILOR'S HUT,The small hut of the local tailor. He might be able to make something for you if you ask him.,TAILOR,,FOUNTAIN,The exit leads back out to the fountain
DINGFELDER FARMS,The workers here are worked to the bone. You can see them each skinny sweaty and hard at work producing cotton for the king's army.,,COTTON,FOUNTAIN,The road past the overworked farmers leads back to the fountain.
